Department,Seniority,Location,Engagement Score,Workload Score,Tenure Years,Responses
Procurement,Middle,Branch,2.7,2,17.7,2
IT,Middle,Branch,2.7,3.1,4.8,9
Procurement,Junior,HQ,3.3,2,10.9,3
Operations,Senior,Branch,1.4,2.5,6.3,6
Operations,Junior,Remote,1.9,1.8,17.2,1
IT,Middle,HQ,3.5,1.8,10.2,4
Finance,Middle,Branch,1.1,2.4,17.5,1
HR,Senior,HQ,1.5,3.8,13,5
Procurement,Middle,Remote,1.1,4.5,8,5
HR,Junior,HQ,2.6,1.6,9.6,8
Operations,Junior,HQ,3.8,4.8,12.4,5
Finance,Junior,Branch,5,1.2,9.2,8
HR,Senior,HQ,4.7,3.6,8.5,9
IT,Middle,HQ,2.5,2.2,7.7,6
Procurement,Middle,Remote,4.7,4.3,13,6
Finance,Middle,Remote,1.1,2.7,7.5,6
Sales,Junior,Branch,3,3.5,4.3,1
Procurement,Lead,Remote,1.2,2.9,16.1,9
Procurement,Lead,HQ,1.2,2.2,17.6,3
Procurement,Middle,Remote,4.7,4.1,1.4,4
HR,Lead,HQ,1.7,4.1,15.7,9
Procurement,Middle,HQ,3.7,1,5.4,2
HR,Senior,Branch,3.8,1.8,15.7,1
Operations,Junior,Branch,1.2,2.5,16.5,5
HR,Middle,HQ,2.5,1.1,11.6,8
Sales,Lead,Remote,1.8,4.8,10,8
HR,Middle,HQ,4.8,2.7,1.9,3
Operations,Junior,HQ,4.8,3.8,6.1,9
Procurement,Junior,HQ,3.7,4.2,1.6,4
Procurement,Junior,Branch,3.6,4.1,4.3,6
IT,Junior,HQ,2.7,1,12.5,9
Procurement,Lead,Branch,3.6,3.1,17.1,9
Sales,Lead,HQ,4,2.7,5.3,6
Operations,Senior,Branch,4.3,1.1,17.5,8
Operations,Junior,Remote,2.5,2.1,11,5
Procurement,Junior,Remote,3.9,4.2,17.6,1
Sales,Lead,Remote,3.6,4.5,13.2,8
Procurement,Junior,HQ,2.7,1.9,16.1,6
Finance,Senior,Remote,1.7,2.3,6.9,3
IT,Middle,Remote,3.5,2.5,17.3,9
Sales,Lead,Branch,4.6,2,13.9,5
IT,Middle,HQ,2.8,4.3,5.4,2
IT,Lead,Remote,2.7,4.5,1.3,9
HR,Junior,Branch,1.7,2.1,12.5,3
HR,Senior,HQ,4.7,4.9,6.3,7
IT,Junior,Remote,3.3,3.2,4.6,5
IT,Senior,Remote,3.5,1.5,14.7,1
HR,Junior,HQ,3.3,4.5,17.6,2
Sales,Lead,HQ,1.8,1.9,3.7,9
Finance,Senior,HQ,2.7,3.6,15.3,7
HR,Senior,Branch,3.2,4,16.4,2
Sales,Middle,HQ,1.6,1.2,14.9,3
Operations,Lead,Branch,2.7,4.6,17.2,1
IT,Junior,Remote,1.7,2.6,10.8,6
HR,Junior,HQ,3.9,2,7.2,3
