Order ID,SKU,Postal Code,Store No,Year,Warehouse Bay,Quantity,Amount
100001,SKU-5720,40512,18,2025,177,108,7194.84
100002,SKU-9898,91296,32,2025,156,185,4594.86
100003,SKU-4675,75885,16,2023,173,46,7704.23
100004,SKU-1706,85266,20,2024,172,200,2711.48
100005,SKU-7822,46620,39,2022,186,87,4670.79
100006,SKU-7147,20735,1,2021,58,183,3212.27
100007,SKU-7438,56109,3,2021,29,168,4344.75
100008,SKU-8676,54952,39,2025,130,174,3789.7
100009,SKU-4366,12064,36,2022,128,232,7901.09
100010,SKU-9393,69307,10,2021,137,183,4720.06
100011,SKU-5840,35984,24,2025,134,250,5711.78
100012,SKU-9139,65512,38,2022,209,140,1037.5
100013,SKU-8175,69916,11,2021,46,35,2338.01
100014,SKU-5059,22272,33,2025,24,158,5671.93
100015,SKU-9180,63085,8,2024,206,47,140.88
100016,SKU-3549,40922,19,2024,94,216,311
100017,SKU-4400,68633,34,2022,3,67,1517.94
100018,SKU-8079,75547,19,2022,83,222,4194.96
100019,SKU-1802,63573,11,2024,175,178,1322.52
100020,SKU-3014,57903,16,2023,1,178,2377.37
100021,SKU-5530,37785,3,2025,10,153,6527.18
100022,SKU-6818,26930,1,2022,158,44,8167.06
100023,SKU-2106,45150,34,2025,64,94,6297.95
100024,SKU-8322,13616,13,2024,48,77,4825.56
100025,SKU-7700,12828,8,2023,197,67,3017.23
100026,SKU-6543,18661,33,2024,72,227,6905.5
100027,SKU-2907,20158,25,2024,213,250,5996.89
100028,SKU-7743,76381,32,2022,198,196,3254.41
100029,SKU-3378,52611,35,2025,68,138,7988.28
100030,SKU-2952,39211,10,2023,25,221,3451.43
100031,SKU-1059,21857,34,2021,118,142,2455.44
100032,SKU-1802,21754,38,2024,202,165,685.6
100033,SKU-2932,88612,21,2022,128,153,6148.53
100034,SKU-8944,15964,15,2025,119,231,2982.41
100035,SKU-3324,92436,7,2023,171,221,7300.58
100036,SKU-3249,92318,24,2023,61,12,3031.92
100037,SKU-6715,85669,23,2023,201,8,5934.28
100038,SKU-3732,49464,14,2024,155,232,5894.3
100039,SKU-3458,11216,36,2025,190,157,2377.49
100040,SKU-5952,21452,35,2023,58,66,7955.05
100041,SKU-7348,11479,3,2024,148,178,1363.47
100042,SKU-8121,11965,6,2022,84,233,2655.58
