Week,Campaign,Country,Impressions,Clicks,Conversions,Cost,CTR,Conversion Rate,CPC
06.01.2025,Brand,DE,44178,2295,265,3402.81,0.0519,0.1155,1.4827
06.01.2025,Retargeting,US,88297,4616,92,1360.64,0.0523,0.0199,0.2948
06.01.2025,Prospecting,US,70600,3873,118,7533.72,0.0549,0.0305,1.9452
06.01.2025,Lookalike,BR,84730,1816,209,1581.57,0.0214,0.1151,0.8709
13.01.2025,Brand,BR,356104,18014,1317,22736.57,0.0506,0.0731,1.2622
13.01.2025,Retargeting,US,173536,6155,120,12743.73,0.0355,0.0195,2.0705
13.01.2025,Prospecting,UK,190013,3157,344,1630.56,0.0166,0.109,0.5165
13.01.2025,Lookalike,DE,318881,5253,258,7299.91,0.0165,0.0491,1.3897
20.01.2025,Brand,IN,329915,14331,561,15445.33,0.0434,0.0391,1.0778
20.01.2025,Retargeting,UK,217581,7871,400,10621.98,0.0362,0.0508,1.3495
20.01.2025,Prospecting,BR,265098,5805,286,1028.69,0.0219,0.0493,0.1772
20.01.2025,Lookalike,BR,323271,19092,1256,9587.83,0.0591,0.0658,0.5022
27.01.2025,Brand,UK,355633,15084,1763,33687.72,0.0424,0.1169,2.2333
27.01.2025,Retargeting,IN,67419,2630,153,5594.8,0.039,0.0582,2.1273
27.01.2025,Prospecting,DE,235357,13278,290,9770.5,0.0564,0.0218,0.7358
27.01.2025,Lookalike,UK,16130,220,3,378.93,0.0136,0.0136,1.7224
03.02.2025,Brand,BR,49034,1517,42,1118.81,0.0309,0.0277,0.7375
03.02.2025,Retargeting,BR,376643,11423,318,18349.87,0.0303,0.0278,1.6064
03.02.2025,Prospecting,UK,115626,1428,56,1976.01,0.0123,0.0392,1.3838
03.02.2025,Lookalike,IN,332492,5721,595,2916.09,0.0172,0.104,0.5097
10.02.2025,Brand,BR,231799,9158,1033,2684.85,0.0395,0.1128,0.2932
10.02.2025,Retargeting,IN,196086,5000,250,6376.99,0.0255,0.05,1.2754
10.02.2025,Prospecting,IN,29051,1100,65,1059.9,0.0379,0.0591,0.9635
10.02.2025,Lookalike,UK,315150,5296,130,844.98,0.0168,0.0245,0.1596
17.02.2025,Brand,IN,162213,8216,600,2467.17,0.0506,0.073,0.3003
17.02.2025,Retargeting,UK,372851,20306,251,16261.61,0.0545,0.0124,0.8008
17.02.2025,Prospecting,DE,139353,1237,109,2202.45,0.0089,0.0881,1.7805
