Procurement report — Q1-Q2 2025 (internal use only)

Prepared by: Planning dept.,,Updated: 14.07.2025

Delivery Date,Supplier,Item Group,Contract No,Ordered Qty,Received Qty,Net Amount,Fill Rate
16.06.2025,Delta Group,Spare parts,CT-947/25,52,48,15416.6,0.9231
27.02.2025,Alfa Trade,Packaging,CT-239/25,76,59,119956.02,0.7763
22.06.2025,Alfa Trade,Packaging,CT-803/25,134,111,366256.25,0.8284
19.03.2025,Gamma Supply,Raw material,CT-902/25,1689,1268,5472330.13,0.7507
07.05.2025,BetaLogistics,Spare parts,CT-262/25,1157,904,3098613.08,0.7813
13.01.2025,Alfa Trade,Packaging,CT-979/25,334,282,894777.78,0.8443
13.06.2025,BetaLogistics,Services,CT-628/25,1466,1246,4605010.18,0.8499
16.02.2025,Delta Group,Spare parts,CT-769/25,1708,1404,4810881.37,0.822
23.05.2025,Delta Group,Spare parts,CT-731/25,1208,1072,4388515.25,0.8874
18.03.2025,BetaLogistics,Packaging,CT-197/25,1366,1140,2894610.44,0.8346
23.05.2025,BetaLogistics,Raw material,CT-844/25,1987,1826,6827959.87,0.919
17.03.2025,Gamma Supply,Services,CT-514/25,1348,1225,1387956.17,0.9088
14.03.2025,Delta Group,Packaging,CT-696/25,929,873,491389.23,0.9397
07.06.2025,Alfa Trade,Raw material,CT-841/25,952,895,2048377.71,0.9401
24.05.2025,BetaLogistics,Raw material,CT-170/25,1912,1506,6166430.04,0.7877
30.06.2025,Gamma Supply,Raw material,CT-620/25,1159,1118,3133657.81,0.9646
06.04.2025,Gamma Supply,Spare parts,CT-230/25,98,77,139945.67,0.7857
03.02.2025,BetaLogistics,Raw material,CT-250/25,139,122,377811.46,0.8777
10.06.2025,Gamma Supply,Services,CT-793/25,237,181,753398.39,0.7637
02.06.2025,Alfa Trade,Spare parts,CT-150/25,1023,894,2046381.66,0.8739
30.03.2025,Alfa Trade,Packaging,CT-731/25,1924,1796,7127626,0.9335
29.04.2025,BetaLogistics,Raw material,CT-836/25,273,216,695640.71,0.7912
05.01.2025,BetaLogistics,Raw material,CT-259/25,1996,1965,1855968.48,0.9845
20.01.2025,Delta Group,Services,CT-132/25,1495,1372,1490294.75,0.9177
16.04.2025,Alfa Trade,Raw material,CT-625/25,64,55,165877.64,0.8594
05.02.2025,BetaLogistics,Spare parts,CT-717/25,1847,1562,4772793.32,0.8457
04.01.2025,Delta Group,Packaging,CT-482/25,1144,1097,1367860.31,0.9589
31.03.2025,Gamma Supply,Spare parts,CT-472/25,1576,1224,5866028.22,0.7766
