Дата;Филиал;Менеджер;Продукт;Количество;Выручка;Себестоимость;Маржинальность
04.07.2025;Москва;S. Kim;Тариф Базовый;30;925 408,28;476 995,77;48,5%
09.10.2025;Новосибирск;A. Petrov;Тариф Команда;23;503 265,39;226 485,06;55,0%
09.10.2025;Екатеринбург;D. Orlov;Тариф Команда;15;327 873,83;269 521,10;17,8%
11.04.2025;Москва;R. Silva;Тариф Команда;12;503 812,48;239 418,41;52,5%
19.02.2025;Новосибирск;L. Chen;Тариф Базовый;7;47 815,00;19 869,44;58,4%
16.07.2025;Санкт-Петербург;S. Kim;Тариф Команда;5;23 279,49;16 237,76;30,2%
10.09.2025;Новосибирск;M. Ivanova;Тариф Базовый;27;438 401,25;357 055,67;18,6%
19.04.2025;Екатеринбург;R. Silva;Доп. место;39;1 331 357,09;665 129,91;50,0%
19.06.2025;Москва;M. Ivanova;Тариф Команда;38;531 899,51;449 672,02;15,5%
12.06.2025;Екатеринбург;D. Orlov;Тариф Про;10;213 647,92;93 286,47;56,3%
05.04.2025;Москва;S. Kim;Тариф Базовый;13;256 979,90;183 392,62;28,6%
04.06.2025;Москва;D. Orlov;Тариф Команда;31;1 020 534,44;826 174,37;19,0%
23.03.2025;Казань;D. Orlov;Доп. место;15;133 869,45;60 040,07;55,2%
05.03.2025;Казань;R. Silva;Тариф Про;10;247 603,57;199 457,28;19,4%
26.02.2025;Новосибирск;A. Petrov;Доп. место;17;453 993,41;347 383,68;23,5%
25.09.2025;Екатеринбург;L. Chen;Тариф Про;2;46 469,82;24 000,08;48,4%
09.05.2025;Москва;A. Petrov;Тариф Про;26;610 042,69;392 101,91;35,7%
25.05.2025;Москва;R. Silva;Тариф Про;33;905 188,95;365 263,09;59,6%
16.03.2025;Санкт-Петербург;M. Ivanova;Тариф Команда;3;54 537,05;22 024,60;59,6%
25.05.2025;Санкт-Петербург;M. Ivanova;Тариф Про;16;263 558,75;218 434,41;17,1%
25.01.2025;Москва;S. Kim;Доп. место;6;123 597,14;55 123,20;55,4%
01.09.2025;Санкт-Петербург;A. Petrov;Тариф Команда;34;706 183,15;467 992,18;33,7%
01.02.2025;Санкт-Петербург;S. Kim;Тариф Базовый;10;202 372,94;136 775,26;32,4%
28.06.2025;Москва;D. Orlov;Тариф Про;12;209 244,52;115 364,45;44,9%
05.09.2025;Санкт-Петербург;A. Petrov;Тариф Базовый;37;1 285 039,41;577 321,54;55,1%
15.04.2025;Екатеринбург;L. Chen;Доп. место;37;67 699,65;52 358,86;22,7%
04.02.2025;Екатеринбург;M. Ivanova;Тариф Базовый;27;530 370,98;382 114,39;28,0%
12.09.2025;Новосибирск;S. Kim;Тариф Команда;40;1 786 105,07;1 044 699,99;41,5%
19.10.2025;Москва;M. Ivanova;Доп. место;13;528 664,43;281 536,50;46,7%
11.02.2025;Казань;A. Petrov;Тариф Базовый;15;523 362,74;304 493,44;41,8%
18.02.2025;Екатеринбург;S. Kim;Доп. место;37;1 118 860,90;897 873,36;19,8%
30.08.2025;Казань;M. Ivanova;Тариф Про;38;1 521 962,85;824 560,79;45,8%
18.05.2025;Казань;R. Silva;Тариф Базовый;35;656 786,69;406 178,84;38,2%
09.01.2025;Казань;R. Silva;Тариф Команда;8;118 588,57;69 713,81;41,2%
11.06.2025;Екатеринбург;R. Silva;Тариф Базовый;6;16 249,35;12 683,48;21,9%
16.06.2025;Санкт-Петербург;M. Ivanova;Тариф Команда;28;881 455,06;488 503,36;44,6%
06.01.2025;Новосибирск;D. Orlov;Тариф Команда;2;75 262,03;60 226,36;20,0%
10.01.2025;Новосибирск;S. Kim;Тариф Команда;15;65 398,69;41 325,12;36,8%
28.03.2025;Санкт-Петербург;M. Ivanova;Доп. место;33;984 120,87;531 895,97;46,0%
26.07.2025;Москва;A. Petrov;Тариф Про;31;1 010 588,20;743 355,41;26,4%
20.01.2025;Москва;L. Chen;Тариф Команда;12;258 504,08;203 359,06;21,3%
14.04.2025;Новосибирск;S. Kim;Тариф Про;10;73 253,42;42 459,66;42,0%
10.09.2025;Москва;D. Orlov;Тариф Базовый;19;171 337,41;119 583,82;30,2%
28.05.2025;Москва;L. Chen;Тариф Про;18;724 687,09;494 849,80;31,7%
24.09.2025;Новосибирск;S. Kim;Тариф Про;40;298 663,42;200 064,66;33,0%
08.04.2025;Екатеринбург;M. Ivanova;Тариф Про;9;317 657,35;144 790,40;54,4%
14.07.2025;Москва;S. Kim;Тариф Базовый;23;879 784,30;468 106,06;46,8%
25.06.2025;Казань;S. Kim;Тариф Про;34;294 730,85;138 348,34;53,1%
02.03.2025;Новосибирск;L. Chen;Тариф Команда;31;192 982,71;108 577,50;43,7%
05.06.2025;Москва;S. Kim;Тариф Про;7;21 697,54;14 919,65;31,2%
17.04.2025;Екатеринбург;L. Chen;Тариф Команда;34;418 199,51;335 270,82;19,8%
12.02.2025;Новосибирск;R. Silva;Тариф Базовый;33;380 418,53;268 139,68;29,5%
31.07.2025;Москва;R. Silva;Тариф Команда;1;24 911,61;17 868,42;28,3%
30.07.2025;Екатеринбург;M. Ivanova;Тариф Команда;33;103 206,97;70 673,63;31,5%
06.05.2025;Новосибирск;S. Kim;Тариф Базовый;39;66 346,89;51 414,44;22,5%
09.09.2025;Санкт-Петербург;M. Ivanova;Тариф Команда;39;1 737 585,83;798 332,97;54,1%
08.02.2025;Казань;S. Kim;Тариф Про;35;626 031,43;409 843,47;34,5%
22.09.2025;Москва;R. Silva;Тариф Команда;14;51 589,44;37 959,07;26,4%
03.05.2025;Москва;S. Kim;Тариф Базовый;2;26 060,11;21 858,96;16,1%
14.07.2025;Казань;A. Petrov;Тариф Базовый;28;886 490,17;654 928,00;26,1%
24.01.2025;Екатеринбург;D. Orlov;Тариф Базовый;38;380 745,76;264 508,50;30,5%
05.04.2025;Казань;A. Petrov;Тариф Про;25;613 310,82;383 474,30;37,5%
25.01.2025;Новосибирск;A. Petrov;Тариф Про;28;512 686,93;220 054,48;57,1%
02.09.2025;Екатеринбург;S. Kim;Тариф Про;4;87 584,11;66 047,22;24,6%
26.07.2025;Москва;M. Ivanova;Доп. место;14;45 005,30;19 632,97;56,4%
27.01.2025;Москва;A. Petrov;Тариф Про;33;422 874,02;178 199,43;57,9%
27.07.2025;Казань;R. Silva;Тариф Базовый;13;357 327,97;275 424,84;22,9%
18.09.2025;Новосибирск;R. Silva;Тариф Базовый;34;1 193 608,62;987 289,75;17,3%
