Period,Plant,Line,Batch ID,Fiscal Year,Units Produced,Units Scrapped,Scrap Rate,Output Value,Material Cost,Labour Cost,Overhead,Cost Per Unit,OEE,Availability,Downtime Minutes,Shift Count,Headcount
01.01.2024,Plant A,L1,B546860,2024,39787,1111,0.0279,216994.77,83113.22,34718.17,19370.13,3.4484,0.619,0.8793,1361,34,11
01.01.2024,Plant A,L2,B602509,2024,87623,3920,0.0447,776150.16,195390.43,78578.74,52256.2,3.7231,0.6461,0.8857,250,21,14
01.01.2024,Plant A,L3,B657412,2024,41926,1689,0.0403,297501.1,160006.91,15298.6,12852.32,4.4879,0.5832,0.8037,1016,43,17
01.01.2024,Plant A,L4,B927842,2024,52153,1887,0.0362,339643.85,167193.32,51607.02,22167.43,4.6204,0.6876,0.799,1732,61,7
01.01.2024,Plant B,L1,B452566,2024,60486,669,0.0111,657970.99,169836.69,18494.84,21285.07,3.4655,0.8055,0.8748,1058,40,18
01.01.2024,Plant B,L2,B218787,2024,5306,265,0.0499,42601.13,8175.55,4865.74,4095.75,3.2297,0.6951,0.9276,877,60,5
01.01.2024,Plant B,L3,B848474,2024,36378,508,0.014,234203.14,100526.59,25127.49,11182.62,3.7615,0.6022,0.8941,1624,43,22
01.01.2024,Plant B,L4,B915489,2024,88102,798,0.0091,773916.06,263224.66,53875.27,33652.29,3.9812,0.6301,0.7767,1405,39,32
01.01.2024,Plant C,L1,B312398,2024,69654,1524,0.0219,545136.03,220081.73,41303.19,33018.65,4.2267,0.513,0.9678,1042,37,24
01.01.2024,Plant C,L2,B146825,2024,65572,3594,0.0548,517076.04,173748.64,57995.57,38149.31,4.116,0.8264,0.7258,498,35,14
01.01.2024,Plant C,L3,B962878,2024,52813,766,0.0145,343395.13,224044.62,28915.46,10580.17,4.9901,0.893,0.8556,896,38,13
01.01.2024,Plant C,L4,B519738,2024,19533,270,0.0138,167698.25,32056.02,21379.12,7985.07,3.1444,0.6256,0.8464,687,49,38
