Date,Product Category,Sales Amount,Net Profit
2025-01-01,Office Supplies,146.78,20.50
2025-01-01,Electronics,"2,214.16",142.98
2025-01-03,Clothing,195.69,44.26
2025-01-03,Home & Kitchen,681.26,114.13
2025-01-04,Home & Kitchen,949.32,149.01
2025-01-05,Electronics,"1,938.72",181.34
2025-01-05,Toys & Games,566.40,81.85
2025-01-13,Sports & Outdoors,472.38,48.70
2025-01-14,Office Supplies,200.55,37.14
2025-01-14,Office Supplies,302.17,50.25
2025-01-15,Sports & Outdoors,678.24,70.03
2025-01-16,Home & Kitchen,901.12,123.41
2025-01-17,Beauty & Personal Care,341.73,118.86
2025-01-17,Electronics,"2,042.56",213.18
2025-01-18,Home & Kitchen,947.26,107.45
2025-01-21,Home & Kitchen,795.26,91.89
2025-01-22,Sports & Outdoors,859.65,94.87
2025-01-23,Beauty & Personal Care,301.26,67.09
2025-01-23,Electronics,809.70,76.02
2025-01-24,Electronics,"1,326.48",93.47
2025-01-24,Clothing,586.59,136.53
2025-01-25,Electronics,851.63,115.48
2025-01-28,Clothing,474.84,130.67
2025-01-28,Clothing,408.69,63.87
2025-01-28,Electronics,"2,537.50",194.90
2025-01-28,Home & Kitchen,494.57,77.15
2025-01-29,Clothing,692.00,128.37
2025-01-29,Clothing,666.66,102.48
2025-01-30,Toys & Games,495.71,83.98
2025-01-30,Sports & Outdoors,473.40,79.88
2025-02-02,Electronics,"2,306.92",179.47
2025-02-02,Office Supplies,199.25,38.27
2025-02-02,Sports & Outdoors,249.48,27.27
2025-02-03,Home & Kitchen,911.90,116.64
2025-02-03,Books,227.02,33.48
2025-02-05,Electronics,808.53,111.28
2025-02-06,Beauty & Personal Care,116.11,32.68
2025-02-09,Toys & Games,315.42,75.10
2025-02-10,Sports & Outdoors,435.81,-6.63
2025-02-10,Sports & Outdoors,524.11,50.84
2025-02-11,Toys & Games,396.99,79.24
2025-02-11,Beauty & Personal Care,284.15,83.36
2025-02-11,Beauty & Personal Care,301.10,64.02
2025-02-12,Books,226.51,34.48
2025-02-12,Beauty & Personal Care,247.94,79.77
2025-02-12,Sports & Outdoors,577.06,85.40
2025-02-14,Office Supplies,228.14,40.51
2025-02-15,Clothing,507.80,97.79
2025-02-15,Toys & Games,165.59,38.79
2025-02-16,Beauty & Personal Care,182.91,-11.50
2025-02-17,Office Supplies,281.30,52.56
2025-02-19,Sports & Outdoors,809.67,103.96
2025-02-19,Clothing,506.30,76.37
2025-02-20,Home & Kitchen,774.69,94.42
2025-02-21,Office Supplies,105.35,14.21
2025-02-22,Office Supplies,131.42,20.56
2025-02-22,Toys & Games,539.78,122.51
2025-02-26,Books,262.55,32.51
2025-02-27,Office Supplies,230.74,42.73
2025-02-27,Beauty & Personal Care,376.87,101.24
2025-03-03,Beauty & Personal Care,308.81,93.05
2025-03-05,Toys & Games,314.03,58.04
2025-03-06,Sports & Outdoors,640.39,67.42
2025-03-09,Books,193.64,23.90
2025-03-10,Sports & Outdoors,"1,071.18",138.13
2025-03-12,Electronics,"2,735.02",331.61
2025-03-13,Electronics,"2,940.92",246.71
2025-03-13,Books,230.13,31.94
2025-03-13,Sports & Outdoors,741.13,86.93
2025-03-15,Books,173.68,23.33
2025-03-17,Clothing,718.98,207.02
2025-03-18,Electronics,"2,855.19",306.51
2025-03-20,Home & Kitchen,802.66,91.16
2025-03-20,Electronics,"1,306.81",112.63
