Month,Region,Segment,Conversion Rate,Retention Rate,Gross Margin,Churn Rate,NPS
01.01.2024,North,SMB,0.136,0.7411,0.5677,0.0599,-6
01.01.2024,North,Mid-market,0.1565,0.8529,0.5824,0.1602,-7
01.01.2024,North,Enterprise,0.071,0.7033,0.2036,0.0461,19
01.01.2024,South,SMB,0.0915,0.9326,0.4212,0.1334,21
01.01.2024,South,Mid-market,0.0504,0.7756,0.3726,0.1923,-27
01.01.2024,South,Enterprise,0.1097,0.7589,0.3664,0.129,-21
01.01.2024,West,SMB,0.1768,0.8627,0.3018,0.0518,77
01.01.2024,West,Mid-market,0.0344,0.7925,0.4175,0.0408,-4
01.01.2024,West,Enterprise,0.0518,0.8999,0.395,0.026,3
01.01.2024,East,SMB,0.1474,0.6233,0.3715,0.0481,10
01.01.2024,East,Mid-market,0.1553,0.8982,0.5219,0.0988,42
01.01.2024,East,Enterprise,0.136,0.7448,0.2762,0.1519,-35
01.01.2024,Central,SMB,0.0875,0.6172,0.292,0.1409,-40
01.01.2024,Central,Mid-market,0.103,0.6031,0.3627,0.0532,27
01.01.2024,Central,Enterprise,0.0476,0.6183,0.2096,0.0517,59
01.02.2024,North,SMB,0.0633,0.7668,0.4681,0.0239,50
01.02.2024,North,Mid-market,0.0529,0.9048,0.4138,0.093,-26
01.02.2024,North,Enterprise,0.0254,0.6151,0.6064,0.1773,-35
01.02.2024,South,SMB,0.0679,0.6992,0.2173,0.0266,46
01.02.2024,South,Mid-market,0.1357,0.8559,0.5056,0.0922,-40
01.02.2024,South,Enterprise,0.0495,0.6804,0.2091,0.1839,55
01.02.2024,West,SMB,0.0732,0.6099,0.5364,0.0424,-11
01.02.2024,West,Mid-market,0.1707,0.936,0.2114,0.0975,-26
01.02.2024,West,Enterprise,0.0149,0.6285,0.4522,0.047,-6
01.02.2024,East,SMB,0.0728,0.8217,0.5823,0.0673,28
01.02.2024,East,Mid-market,0.1132,0.8566,0.5757,0.0827,16
01.02.2024,East,Enterprise,0.1799,0.6802,0.5771,0.0465,59
01.02.2024,Central,SMB,0.1647,0.7608,0.5356,0.108,-9
01.02.2024,Central,Mid-market,0.1715,0.682,0.2773,0.1875,77
01.02.2024,Central,Enterprise,0.0337,0.7685,0.4019,0.0163,-12
01.03.2024,North,SMB,0.1358,0.9444,0.5292,0.1048,48
01.03.2024,North,Mid-market,0.1129,0.805,0.2423,0.1985,3
01.03.2024,North,Enterprise,0.1101,0.7258,0.4368,0.1243,2
01.03.2024,South,SMB,0.1743,0.7421,0.2421,0.1491,73
01.03.2024,South,Mid-market,0.1115,0.6152,0.3299,0.1661,-12
01.03.2024,South,Enterprise,0.0106,0.6837,0.2603,0.0579,-8
01.03.2024,West,SMB,0.1029,0.7466,0.5311,0.1577,55
01.03.2024,West,Mid-market,0.1046,0.6016,0.5031,0.1732,43
01.03.2024,West,Enterprise,0.0222,0.9573,0.4159,0.1784,6
01.03.2024,East,SMB,0.1112,0.7579,0.2115,0.1527,0
01.03.2024,East,Mid-market,0.1738,0.7645,0.2741,0.1975,-25
01.03.2024,East,Enterprise,0.0766,0.8109,0.4913,0.1556,61
01.03.2024,Central,SMB,0.1055,0.8253,0.3789,0.135,62
01.03.2024,Central,Mid-market,0.1005,0.6231,0.4706,0.1119,69
01.03.2024,Central,Enterprise,0.0324,0.7048,0.4612,0.061,72
01.04.2024,North,SMB,0.0209,0.836,0.3157,0.0342,76
01.04.2024,North,Mid-market,0.0122,0.783,0.3257,0.1241,80
01.04.2024,North,Enterprise,0.054,0.607,0.5977,0.0141,15
01.04.2024,South,SMB,0.1321,0.6978,0.5617,0.1453,75
01.04.2024,South,Mid-market,0.1119,0.8058,0.4218,0.0445,-28
01.04.2024,South,Enterprise,0.1138,0.7804,0.4421,0.1691,19
01.04.2024,West,SMB,0.0807,0.6999,0.3946,0.1183,27
01.04.2024,West,Mid-market,0.098,0.7788,0.5629,0.0747,-6
01.04.2024,West,Enterprise,0.1347,0.643,0.505,0.1546,50
01.04.2024,East,SMB,0.0201,0.8053,0.2368,0.06,75
01.04.2024,East,Mid-market,0.0742,0.6869,0.5523,0.1557,42
01.04.2024,East,Enterprise,0.0937,0.9163,0.5909,0.1604,20
01.04.2024,Central,SMB,0.0286,0.6631,0.3477,0.1725,69
01.04.2024,Central,Mid-market,0.0769,0.8159,0.1898,0.19,38
01.04.2024,Central,Enterprise,0.1209,0.9591,0.5686,0.0233,26
01.05.2024,North,SMB,0.1232,0.8194,0.4012,0.0344,79
01.05.2024,North,Mid-market,0.0253,0.7983,0.5816,0.0452,30
01.05.2024,North,Enterprise,0.1165,0.953,0.3425,0.1304,69
01.05.2024,South,SMB,0.1314,0.6843,0.1898,0.0489,78
01.05.2024,South,Mid-market,0.051,0.7869,0.2119,0.0505,27
01.05.2024,South,Enterprise,0.0468,0.6303,0.4197,0.1189,13
01.05.2024,West,SMB,0.1099,0.6788,0.5433,0.1295,-25
01.05.2024,West,Mid-market,0.0449,0.7427,0.5967,0.188,-35
01.05.2024,West,Enterprise,0.177,0.7503,0.5214,0.1959,63
01.05.2024,East,SMB,0.0447,0.6112,0.4602,0.1464,40
01.05.2024,East,Mid-market,0.1773,0.7175,0.406,0.0585,-22
01.05.2024,East,Enterprise,0.0515,0.8482,0.37,0.1716,-29
01.05.2024,Central,SMB,0.1592,0.6691,0.3213,0.1442,77
01.05.2024,Central,Mid-market,0.0926,0.8055,0.3752,0.0376,13
01.05.2024,Central,Enterprise,0.0397,0.7871,0.563,0.0864,-40
01.06.2024,North,SMB,0.1433,0.9276,0.5382,0.1128,7
01.06.2024,North,Mid-market,0.1647,0.8562,0.5843,0.0343,51
01.06.2024,North,Enterprise,0.1342,0.8262,0.1986,0.08,43
01.06.2024,South,SMB,0.0582,0.9247,0.5743,0.1509,-30
01.06.2024,South,Mid-market,0.0625,0.6595,0.1888,0.0866,4
01.06.2024,South,Enterprise,0.1469,0.6494,0.2889,0.0408,15
01.06.2024,West,SMB,0.1777,0.9288,0.5459,0.16,-6
01.06.2024,West,Mid-market,0.1583,0.7092,0.3019,0.0754,9
01.06.2024,West,Enterprise,0.0261,0.767,0.357,0.0123,24
01.06.2024,East,SMB,0.1659,0.8352,0.3299,0.1867,-32
01.06.2024,East,Mid-market,0.0122,0.8001,0.4359,0.0696,-14
01.06.2024,East,Enterprise,0.0511,0.7646,0.2799,0.1322,3
01.06.2024,Central,SMB,0.141,0.7004,0.2892,0.0741,40
01.06.2024,Central,Mid-market,0.0926,0.8404,0.2783,0.0323,36
01.06.2024,Central,Enterprise,0.0793,0.7513,0.573,0.1899,55
01.07.2024,North,SMB,0.1188,0.9417,0.4339,0.156,29
01.07.2024,North,Mid-market,0.0724,0.8748,0.209,0.0111,-33
01.07.2024,North,Enterprise,0.0186,0.6737,0.3487,0.1859,77
01.07.2024,South,SMB,0.0692,0.62,0.5028,0.0207,-36
01.07.2024,South,Mid-market,0.1595,0.6678,0.3979,0.0532,31
01.07.2024,South,Enterprise,0.0392,0.6845,0.6045,0.0138,-30
01.07.2024,West,SMB,0.1074,0.8819,0.3861,0.1266,54
01.07.2024,West,Mid-market,0.1125,0.6353,0.3676,0.155,22
01.07.2024,West,Enterprise,0.1521,0.8041,0.5865,0.0161,28
01.07.2024,East,SMB,0.0264,0.9685,0.561,0.0625,-29
01.07.2024,East,Mid-market,0.169,0.6594,0.3841,0.1923,55
01.07.2024,East,Enterprise,0.0327,0.9597,0.3121,0.1827,-16
01.07.2024,Central,SMB,0.1441,0.8675,0.6175,0.0977,-25
01.07.2024,Central,Mid-market,0.1334,0.8257,0.4649,0.1358,58
01.07.2024,Central,Enterprise,0.0625,0.8249,0.3279,0.1574,42
01.08.2024,North,SMB,0.0131,0.8011,0.234,0.0847,32
01.08.2024,North,Mid-market,0.1058,0.7333,0.2279,0.0562,69
01.08.2024,North,Enterprise,0.089,0.798,0.2304,0.1857,58
01.08.2024,South,SMB,0.013,0.8822,0.478,0.0354,60
01.08.2024,South,Mid-market,0.0854,0.6837,0.3184,0.0144,21
01.08.2024,South,Enterprise,0.0332,0.9398,0.3483,0.1243,39
01.08.2024,West,SMB,0.058,0.7709,0.5373,0.1259,-13
01.08.2024,West,Mid-market,0.1563,0.8568,0.4663,0.0875,-21
01.08.2024,West,Enterprise,0.0678,0.6981,0.493,0.0936,5
01.08.2024,East,SMB,0.0184,0.6905,0.1818,0.0857,27
01.08.2024,East,Mid-market,0.0577,0.6403,0.5507,0.0549,5
01.08.2024,East,Enterprise,0.0916,0.9135,0.4893,0.0213,80
