Txn Date,Store,Category,Payment Type,Basket Items,Basket Value
22.04.2025,Store 28,Peripherals,Voucher,18,434.27
03.08.2024,Store 27,Laptops,Card,12,471.01
09.08.2024,Store 32,Networking,Voucher,6,210.6
06.04.2025,Store 40,Storage,Cash,16,70.39
02.08.2024,Store 01,Peripherals,Wallet,10,321
30.11.2025,Store 23,Monitors,Card,1,281.23
06.08.2025,Store 30,Networking,Voucher,5,81.45
08.03.2025,Store 21,Monitors,Card,12,377.88
06.04.2024,Store 09,Networking,Wallet,2,115.73
11.06.2025,Store 09,Networking,Voucher,14,263.65
21.06.2025,Store 36,Networking,Card,15,402.71
20.02.2025,Store 26,Storage,Wallet,20,181.74
04.08.2025,Store 24,Monitors,Voucher,16,134.62
29.04.2025,Store 17,Networking,Voucher,4,221.52
10.10.2024,Store 09,Laptops,Cash,20,285.41
04.08.2025,Store 09,Monitors,Card,9,409.88
22.09.2025,Store 16,Networking,Voucher,21,166.31
07.05.2024,Store 15,Peripherals,Wallet,18,88.49
04.08.2024,Store 10,Laptops,Card,10,262.41
18.02.2025,Store 31,Storage,Voucher,15,113
22.01.2025,Store 01,Networking,Wallet,10,250.27
14.08.2025,Store 16,Storage,Card,3,146.51
10.08.2025,Store 38,Storage,Cash,1,296.98
27.10.2024,Store 38,Networking,Wallet,15,44.79
18.11.2024,Store 38,Laptops,Cash,8,282.62
28.07.2024,Store 27,Storage,Voucher,4,349.37
11.09.2025,Store 23,Networking,Wallet,15,380.57
16.10.2024,Store 32,Laptops,Wallet,15,77.22
24.12.2024,Store 34,Monitors,Wallet,2,435.57
17.06.2025,Store 35,Laptops,Card,17,381.4
17.05.2025,Store 02,Peripherals,Card,15,230.77
29.05.2024,Store 15,Peripherals,Voucher,9,191.97
26.05.2024,Store 10,Peripherals,Wallet,8,97.88
07.03.2024,Store 23,Laptops,Cash,5,447.99
12.11.2024,Store 10,Laptops,Voucher,7,196.62
16.07.2025,Store 09,Storage,Wallet,22,133.41
14.12.2024,Store 27,Storage,Cash,4,476.71
28.02.2025,Store 01,Storage,Cash,15,330.8
24.08.2025,Store 02,Networking,Voucher,9,429.48
29.03.2024,Store 05,Storage,Voucher,4,459.54
25.04.2025,Store 26,Monitors,Wallet,11,4.07
11.09.2025,Store 20,Laptops,Voucher,6,219.67
05.04.2024,Store 36,Peripherals,Voucher,10,10.19
10.09.2024,Store 01,Peripherals,Voucher,6,345.55
20.06.2025,Store 22,Peripherals,Wallet,8,95.12
08.08.2024,Store 24,Monitors,Wallet,4,112.24
21.03.2025,Store 01,Peripherals,Wallet,18,308
15.04.2024,Store 13,Storage,Voucher,5,345.37
21.01.2025,Store 32,Laptops,Voucher,21,256.76
12.09.2024,Store 09,Storage,Cash,18,62.92
17.01.2024,Store 20,Networking,Wallet,1,57.82
21.03.2024,Store 37,Laptops,Cash,8,296.39
30.05.2025,Store 40,Laptops,Cash,12,98.41
23.06.2024,Store 25,Networking,Wallet,14,3.61
24.02.2025,Store 26,Storage,Wallet,13,59.53
26.04.2024,Store 05,Storage,Voucher,16,303.72
30.07.2025,Store 13,Laptops,Cash,14,164.09
18.02.2024,Store 29,Networking,Voucher,22,249.63
09.10.2024,Store 19,Laptops,Card,5,413.9
03.01.2024,Store 32,Peripherals,Wallet,19,171.33
12.10.2025,Store 20,Peripherals,Wallet,6,303.27
03.08.2024,Store 04,Networking,Cash,3,31.32
17.09.2024,Store 29,Peripherals,Wallet,14,109.85
06.09.2024,Store 07,Peripherals,Voucher,13,342.02
28.09.2025,Store 35,Networking,Cash,18,134.38
08.01.2025,Store 13,Peripherals,Wallet,9,466.19
16.11.2024,Store 07,Monitors,Card,14,94.46
25.12.2024,Store 21,Peripherals,Cash,14,165.14
29.10.2025,Store 22,Storage,Card,17,186.6
10.05.2024,Store 24,Storage,Card,19,49.51
02.04.2025,Store 24,Networking,Voucher,17,31.23
11.11.2024,Store 15,Monitors,Wallet,15,277.56
18.07.2024,Store 38,Storage,Card,22,29.74
11.04.2024,Store 15,Peripherals,Voucher,20,422.4
06.04.2024,Store 02,Networking,Wallet,16,264.65
22.10.2024,Store 12,Storage,Cash,11,460.01
27.08.2025,Store 36,Monitors,Voucher,19,245.22
