Дата,Сумма
01.01.2024,781
02.01.2024,1085
03.01.2024,1639
04.01.2024,2455
05.01.2024,2654
06.01.2024,2878
07.01.2024,3576
08.01.2024,3822
09.01.2024,4346
10.01.2024,5092
11.01.2024,5301
12.01.2024,5970
13.01.2024,6339
14.01.2024,6527
15.01.2024,6765
16.01.2024,7359
17.01.2024,7937
18.01.2024,8158
19.01.2024,8554
20.01.2024,8796
21.01.2024,9510
22.01.2024,10094
23.01.2024,10304
24.01.2024,11033
25.01.2024,11309
26.01.2024,11687
27.01.2024,12482
28.01.2024,13274
29.01.2024,14020
30.01.2024,14233
31.01.2024,14973
01.02.2024,15722
