Fecha,Monto
2024-02-01,25
2024-02-02,50
2024-02-03,75
2024-02-04,100
no-disponible,125
2024-02-05,150
2024-02-06,175
2024-02-07,200
2024-02-08,225
2024-02-09,250
2024-02-10,275
2024-02-11,300
2024-02-12,325
2024-02-13,350
2024-02-14,375
2024-02-15,400
no-disponible,425
2024-02-16,450
2024-02-17,475
2024-02-18,500
2024-02-19,525
2024-02-20,550
2024-02-21,575
2024-02-22,600
2024-02-23,625
2024-02-24,650
2024-02-25,675
2024-02-26,700
2024-02-27,725
2024-02-28,750
2024-02-01,775
2024-02-02,800
no-disponible,825
2024-02-03,850
2024-02-04,875
2024-02-05,900
2024-02-06,925
2024-02-07,950
2024-02-08,975
2024-02-09,1000
